,date,state,positive
198,2020-04-06,OT,11
199,2020-04-06,PH,33
200,2020-04-06,SM,25
201,2020-04-06,SJ,10
202,2020-04-06,SB,55
203,2020-04-06,SV,1228
204,2020-04-06,TR,30
205,2020-04-06,TM,181
206,2020-04-06,TL,6
207,2020-04-06,VS,14
208,2020-04-06,VL,8
209,2020-04-06,VN,79
210,2020-04-06,B,566
211,2020-04-07,AB,50
212,2020-04-07,AR,161
213,2020-04-07,AG,31
214,2020-04-07,BC,47
215,2020-04-07,BH,55
216,2020-04-07,BN,70
217,2020-04-07,BT,86
218,2020-04-07,BV,156
219,2020-04-07,BR,12
220,2020-04-07,BZ,13
221,2020-04-07,CS,23
222,2020-04-07,CL,33
223,2020-04-07,CJ,119
224,2020-04-07,CT,119
225,2020-04-07,CV,55
226,2020-04-07,DB,25
227,2020-04-07,DJ,29
228,2020-04-07,GL,133
229,2020-04-07,GR,34
230,2020-04-07,GJ,7
231,2020-04-07,HR,3
232,2020-04-07,HD,158
233,2020-04-07,IL,72
234,2020-04-07,IS,92
235,2020-04-07,IF,99
236,2020-04-07,MM,43
237,2020-04-07,MH,13
238,2020-04-07,MS,92
239,2020-04-07,NT,182
240,2020-04-07,OT,11
241,2020-04-07,PH,36
242,2020-04-07,SM,27
243,2020-04-07,SJ,11
244,2020-04-07,SB,69
245,2020-04-07,SV,1322
246,2020-04-07,TR,31
247,2020-04-07,TM,191
248,2020-04-07,TL,6
249,2020-04-07,VS,15
250,2020-04-07,VL,9
251,2020-04-07,VN,79
252,2020-04-07,B,598
253,2020-04-08,AB,83
254,2020-04-08,AR,161
255,2020-04-08,AG,33
256,2020-04-08,BC,51
257,2020-04-08,BH,58
258,2020-04-08,BN,72
259,2020-04-08,BT,88
260,2020-04-08,BV,161
261,2020-04-08,BR,14
262,2020-04-08,BZ,13
263,2020-04-08,CS,28
264,2020-04-08,CL,35
265,2020-04-08,CJ,129
266,2020-04-08,CT,114
267,2020-04-08,CV,57
268,2020-04-08,DB,27
269,2020-04-08,DJ,39
270,2020-04-08,GL,128
271,2020-04-08,GR,36
272,2020-04-08,GJ,7
273,2020-04-08,HR,3
274,2020-04-08,HD,174
275,2020-04-08,IL,79
276,2020-04-08,IS,106
277,2020-04-08,IF,99
278,2020-04-08,MM,41
279,2020-04-08,MH,13
280,2020-04-08,MS,103
281,2020-04-08,NT,196
282,2020-04-08,OT,12
283,2020-04-08,PH,36
284,2020-04-08,SM,25
285,2020-04-08,SJ,11
286,2020-04-08,SB,72
287,2020-04-08,SV,1430
288,2020-04-08,TR,36
289,2020-04-08,TM,227
290,2020-04-08,TL,10
291,2020-04-08,VS,17
292,2020-04-08,VL,9
293,2020-04-08,VN,90
294,2020-04-08,B,637
295,2020-04-09,AB,90
296,2020-04-09,AR,162
297,2020-04-09,AG,32
298,2020-04-09,BC,56
299,2020-04-09,BH,66
300,2020-04-09,BN,76
301,2020-04-09,BT,106
302,2020-04-09,BV,175
303,2020-04-09,BR,16
304,2020-04-09,BZ,13
305,2020-04-09,CS,34
306,2020-04-09,CL,34
307,2020-04-09,CJ,148
308,2020-04-09,CT,124
309,2020-04-09,CV,62
310,2020-04-09,DB,28
311,2020-04-09,DJ,39
312,2020-04-09,GL,175
313,2020-04-09,GR,46
314,2020-04-09,GJ,9
315,2020-04-09,HR,4
316,2020-04-09,HD,212
317,2020-04-09,IL,81
318,2020-04-09,IS,131
319,2020-04-09,IF,107
320,2020-04-09,MM,43
321,2020-04-09,MH,15
322,2020-04-09,MS,146
323,2020-04-09,NT,202
324,2020-04-09,OT,12
325,2020-04-09,PH,36
326,2020-04-09,SM,28
327,2020-04-09,SJ,12
328,2020-04-09,SB,90
329,2020-04-09,SV,1487
330,2020-04-09,TR,41
331,2020-04-09,TM,252
332,2020-04-09,TL,11
333,2020-04-09,VS,36
334,2020-04-09,VL,11
335,2020-04-09,VN,95
336,2020-04-09,B,659
337,2020-04-10,AB,100
338,2020-04-10,AR,179
339,2020-04-10,AG,52
340,2020-04-10,BC,58
341,2020-04-10,BH,70
342,2020-04-10,BN,78
343,2020-04-10,BT,119
344,2020-04-10,BV,190
345,2020-04-10,BR,16
346,2020-04-10,BZ,13
347,2020-04-10,CS,38
348,2020-04-10,CL,35
349,2020-04-10,CJ,152
350,2020-04-10,CT,124
351,2020-04-10,CV,79
352,2020-04-10,DB,30
353,2020-04-10,DJ,40
354,2020-04-10,GL,182
355,2020-04-10,GR,46
356,2020-04-10,GJ,10
357,2020-04-10,HR,5
358,2020-04-10,HD,227
359,2020-04-10,IL,85
360,2020-04-10,IS,99
361,2020-04-10,IF,115
362,2020-04-10,MM,43
363,2020-04-10,MH,16
364,2020-04-10,MS,161
365,2020-04-10,NT,234
366,2020-04-10,OT,11
367,2020-04-10,PH,38
368,2020-04-10,SM,30
369,2020-04-10,SJ,13
370,2020-04-10,SB,94
371,2020-04-10,SV,1529
372,2020-04-10,TR,56
373,2020-04-10,TM,259
374,2020-04-10,TL,12
375,2020-04-10,VS,35
376,2020-04-10,VL,11
377,2020-04-10,VN,95
378,2020-04-10,B,688
379,2020-04-11,AB,103
380,2020-04-11,AR,229
381,2020-04-11,AG,51
382,2020-04-11,BC,65
383,2020-04-11,BH,83
384,2020-04-11,BN,82
385,2020-04-11,BT,155
386,2020-04-11,BV,219
387,2020-04-11,BR,16
388,2020-04-11,BZ,13
389,2020-04-11,CS,48
390,2020-04-11,CL,35
391,2020-04-11,CJ,177
392,2020-04-11,CT,155
393,2020-04-11,CV,91
