state,date,ML,Low_90,High_90,Low_50,High_50
SM,2020-04-19,1.1400000000000001,0.0,3.24,0.33,1.84
SV,2020-04-02,3.0,0.86,6.84,1.86,4.2700000000000005
SV,2020-04-03,0.96,0.25,1.6600000000000001,0.62,1.21
SV,2020-04-04,0.76,0.1,1.35,0.42,0.96
SV,2020-04-05,0.61,0.01,1.16,0.32,0.8300000000000001
SV,2020-04-06,0.39,0.0,0.98,0.13,0.58
SV,2020-04-07,0.21,0.0,0.8300000000000001,0.0,0.37
SV,2020-04-08,0.28,0.0,0.87,0.0,0.4
SV,2020-04-09,0.19,0.0,0.8200000000000001,0.0,0.36
SV,2020-04-10,0.42,0.0,1.03,0.14,0.61
SV,2020-04-11,0.35000000000000003,0.0,1.01,0.08,0.54
SV,2020-04-12,0.31,0.0,0.99,0.0,0.45
SV,2020-04-13,0.51,0.0,1.2,0.21,0.75
SV,2020-04-14,0.58,0.0,1.29,0.21,0.8
SV,2020-04-15,0.8300000000000001,0.08,1.59,0.47000000000000003,1.1300000000000001
SV,2020-04-16,1.19,0.29,1.97,0.75,1.46
SV,2020-04-17,1.3,0.4,2.07,0.92,1.61
SV,2020-04-18,1.44,0.5700000000000001,2.2,1.06,1.73
SV,2020-04-19,1.4000000000000001,0.59,2.17,1.05,1.7
TL,2020-04-06,3.0,0.86,6.84,1.86,4.2700000000000005
TL,2020-04-07,2.91,0.81,6.22,1.82,4.03
TL,2020-04-08,2.83,0.78,5.87,1.82,3.91
TL,2020-04-09,2.7600000000000002,0.7000000000000001,5.59,1.72,3.74
TL,2020-04-10,2.7,0.5700000000000001,5.32,1.68,3.65
TL,2020-04-11,2.64,0.45,5.09,1.6,3.54
TL,2020-04-12,2.88,0.59,5.3500000000000005,1.79,3.7800000000000002
TL,2020-04-13,2.71,0.45,4.95,1.75,3.64
TL,2020-04-14,2.57,0.36,4.66,1.61,3.44
TL,2020-04-15,2.7,0.45,4.75,1.68,3.5
TL,2020-04-16,2.5100000000000002,0.35000000000000003,4.41,1.56,3.3000000000000003
TL,2020-04-17,2.34,0.28,4.15,1.36,3.0500000000000003
TL,2020-04-18,1.96,0.05,3.61,0.99,2.61
TL,2020-04-19,1.87,0.05,3.54,0.88,2.49
TM,2020-04-02,3.0,0.86,6.84,1.86,4.2700000000000005
TM,2020-04-03,1.76,0.54,3.21,1.12,2.24
TM,2020-04-04,1.5,0.34,2.68,0.98,1.96
TM,2020-04-05,1.32,0.16,2.35,0.78,1.72
TM,2020-04-06,1.24,0.13,2.25,0.6900000000000001,1.62
TM,2020-04-07,1.16,0.08,2.15,0.62,1.54
TM,2020-04-08,1.1,0.03,2.06,0.55,1.46
TM,2020-04-09,0.87,0.0,1.87,0.36,1.22
TM,2020-04-10,0.76,0.0,1.81,0.3,1.1300000000000001
TM,2020-04-11,0.6900000000000001,0.0,1.76,0.22,1.03
TM,2020-04-12,0.52,0.0,1.6,0.15,0.87
TM,2020-04-13,0.5700000000000001,0.0,1.6600000000000001,0.16,0.91
TM,2020-04-14,0.61,0.0,1.71,0.22,0.99
TM,2020-04-15,0.64,0.0,1.76,0.25,1.04
TM,2020-04-16,0.67,0.0,1.79,0.23,1.04
TM,2020-04-17,0.62,0.0,1.75,0.2,0.99
TM,2020-04-18,0.64,0.0,1.79,0.2,1.01
TM,2020-04-19,0.74,0.0,1.8900000000000001,0.26,1.12
TR,2020-04-02,3.0,0.86,6.84,1.86,4.2700000000000005
TR,2020-04-03,2.71,0.8,5.44,1.75,3.67
TR,2020-04-04,2.5300000000000002,0.68,4.8500000000000005,1.6300000000000001,3.36
TR,2020-04-05,2.39,0.55,4.47,1.53,3.16
TR,2020-04-06,2.2800000000000002,0.42,4.18,1.49,3.06
TR,2020-04-07,2.37,0.52,4.26,1.51,3.08
TR,2020-04-08,2.59,0.67,4.4,1.73,3.2800000000000002
TR,2020-04-09,2.33,0.52,4.0,1.52,2.98
TR,2020-04-10,2.14,0.34,3.65,1.31,2.72
TR,2020-04-11,1.97,0.24,3.41,1.19,2.56
TR,2020-04-12,1.68,0.1,3.0500000000000003,0.86,2.19
TR,2020-04-13,1.4000000000000001,0.0,2.7600000000000002,0.61,1.8900000000000001
TR,2020-04-14,1.07,0.0,2.6,0.41000000000000003,1.62
TR,2020-04-15,0.97,0.0,2.6,0.31,1.52
TR,2020-04-16,0.91,0.0,2.6,0.3,1.5
TR,2020-04-17,0.71,0.0,2.45,0.21,1.32
TR,2020-04-18,0.61,0.0,2.34,0.18,1.21
TR,2020-04-19,0.62,0.0,2.39,0.15,1.2
VL,2020-04-08,3.0,0.86,6.84,1.86,4.2700000000000005
VL,2020-04-09,2.91,0.81,6.22,1.82,4.03
VL,2020-04-10,2.83,0.78,5.87,1.82,3.91
VL,2020-04-11,2.7600000000000002,0.7000000000000001,5.59,1.72,3.74
VL,2020-04-12,2.7,0.5700000000000001,5.32,1.68,3.65
VL,2020-04-13,2.64,0.45,5.09,1.6,3.54
VL,2020-04-14,2.58,0.4,4.94,1.53,3.45
VL,2020-04-15,2.52,0.27,4.73,1.58,3.48
VL,2020-04-16,2.45,0.21,4.59,1.37,3.27
VL,2020-04-17,2.39,0.2,4.5,1.34,3.23
VL,2020-04-18,2.33,0.16,4.39,1.34,3.22
VL,2020-04-19,2.2600000000000002,0.07,4.24,1.17,3.0500000000000003
VN,2020-04-02,3.0,0.86,6.84,1.86,4.2700000000000005
VN,2020-04-03,2.29,0.65,4.49,1.5,3.09
VN,2020-04-04,2.14,0.55,4.05,1.34,2.8000000000000003
VN,2020-04-05,1.87,0.3,3.52,1.11,2.47
VN,2020-04-06,1.81,0.2,3.35,1.06,2.41
VN,2020-04-07,1.74,0.14,3.22,0.9500000000000001,2.3000000000000003
VN,2020-04-08,1.82,0.16,3.29,1.03,2.4
VN,2020-04-09,1.87,0.21,3.34,1.07,2.44
VN,2020-04-10,2.05,0.35000000000000003,3.52,1.25,2.61
VN,2020-04-11,2.14,0.48,3.59,1.43,2.74
VN,2020-04-12,2.04,0.43,3.4,1.3900000000000001,2.64
VN,2020-04-13,1.94,0.39,3.24,1.22,2.43
VN,2020-04-14,1.86,0.38,3.12,1.23,2.39
VN,2020-04-15,1.57,0.2,2.7600000000000002,0.93,2.05
VN,2020-04-16,1.45,0.12,2.59,0.78,1.8800000000000001
VN,2020-04-17,1.34,0.09,2.48,0.67,1.75
VN,2020-04-18,1.24,0.02,2.35,0.5700000000000001,1.6300000000000001
VN,2020-04-19,1.49,0.2,2.66,0.9,1.98
VS,2020-04-02,3.0,0.86,6.84,1.86,4.2700000000000005
VS,2020-04-03,2.91,0.81,6.22,1.82,4.03
VS,2020-04-04,2.83,0.78,5.87,1.82,3.91
VS,2020-04-05,2.7600000000000002,0.7000000000000001,5.59,1.72,3.74
VS,2020-04-06,3.39,0.99,6.24,2.25,4.43
VS,2020-04-07,3.02,0.79,5.42,2.02,3.94
VS,2020-04-08,3.3000000000000003,1.16,5.62,2.31,4.16
VS,2020-04-09,2.87,0.86,4.87,2.02,3.68
VS,2020-04-10,2.58,0.67,4.41,1.73,3.29
VS,2020-04-11,2.36,0.49,4.04,1.5,3.0
VS,2020-04-12,2.0,0.23,3.54,1.1500000000000001,2.6
VS,2020-04-13,1.71,0.06,3.16,0.88,2.29
VS,2020-04-14,1.62,0.02,3.08,0.76,2.17
VS,2020-04-15,1.53,0.0,3.02,0.67,2.07
VS,2020-04-16,1.44,0.0,2.97,0.54,1.93
VS,2020-04-17,1.03,0.0,2.77,0.37,1.6600000000000001
VS,2020-04-18,0.9500000000000001,0.0,2.7800000000000002,0.28,1.57
VS,2020-04-19,0.71,0.0,2.62,0.23,1.41
